time,lat,lon,speed,heading,hr
0.0,33.912721537975905,-118.34481081457866,44.77,170.16,80.2
1.0,33.912611145577245,-118.3447877463,50.8,171.9,84.9
2.0,33.91248529515376,-118.34476615465753,47.52,171.81,83.5
3.0,33.91236758865738,-118.34474574681799,49.07,170.27,89.6
4.0,33.91224654842772,-118.34472074635521,54.98,171.93,95.3
5.0,33.912110317959275,-118.34469747437261,37.24,170.24,91.2
6.0,33.9120184738066,-118.34467843586502,46.35,168.38,83.4
7.0,33.91190487142348,-118.34465028426226,50.59,168.66,76.5
8.0,33.91178074918378,-118.34462029011118,49.78,166.77,82.6
9.0,33.911659483768446,-118.3445859285161,46.39,171.92,73.3
10.0,33.91154454656961,-118.34456627842084,49.47,168.48,80.6
11.0,33.91142324258599,-118.34453648752307,48.09,163.86,67.4
12.0,33.9113076472194,-118.34449617261657,51.65,165.04,73.9
13.0,33.91118276986407,-118.34445597544192,51.51,171.35,70.0
14.0,33.91105532513751,-118.34443260905317,55.31,168.7,72.1
15.0,33.91091960081857,-118.34439993632046,48.77,172.21,67.9
16.0,33.91079868353159,-118.34437999188519,47.01,163.87,82.4
17.0,33.91068566692219,-118.34434059833174,51.49,172.36,77.3
18.0,33.910557949916424,-118.34431996860079,45.86,174.85,85.1
19.0,33.91044366053686,-118.34430755112017,48.23,169.97,92.1
20.0,33.91032481385362,-118.34428222031214,44.7,167.88,88.4
21.0,33.910215440581084,-118.34425393030281,58.88,168.8,91.5
22.0,33.910070893906564,-118.3442194451756,45.58,168.77,80.7
23.0,33.909959008936085,-118.34419268254119,49.09,166.92,92.3
24.0,33.9098393345035,-118.34415919054648,49.44,173.37,82.9
25.0,33.90971644616883,-118.34414196640697,47.19,170.81,88.2
26.0,33.9095998599796,-118.34411922993448,48.49,169.43,69.7
27.0,33.90948056932456,-118.34409241434395,51.26,169.41,71.9
28.0,33.90935447578052,-118.34406401814755,51.13,167.75,68.6
29.0,33.9092294417644,-118.34403130120543,47.15,173.17,72.3
30.0,33.90911227642367,-118.344014400486,49.88,166.63,84.2
31.0,33.90899082546242,-118.34397961394552,46.16,172.34,80.5
32.0,33.90887634662598,-118.34396107294599,52.87,169.05,81.6
33.0,33.908746439723586,-118.34393078854698,45.74,161.17,85.2
34.0,33.90863810628439,-118.34388627644046,45.68,170.45,82.0
35.0,33.90852537771343,-118.34386343665912,48.48,164.28,96.2
36.0,33.908408581649574,-118.34382382961032,55.32,172.41,93.1
37.0,33.90827135148984,-118.34380181049386,54.67,173.08,92.3
38.0,33.90813553004847,-118.34378195531585,51.85,169.44,96.7
39.0,33.90800797856684,-118.3437532995946,46.59,168.56,90.5
40.0,33.90789371480989,-118.3437254390518,51.14,172.49,82.3
41.0,33.9077668227044,-118.3437052952411,46.83,175.73,84.4
42.0,33.90764996379591,-118.34369479413506,56.84,167.29,83.6
43.0,33.90751119374943,-118.34365708836127,51.34,167.45,83.0
44.0,33.90738578213891,-118.34362344174023,51.27,169.44,74.4
45.0,33.90725964866837,-118.34359510072397,42.72,168.52,71.1
46.0,33.90715488164728,-118.3435694668255,53.67,175.42,76.4
47.0,33.907020989980325,-118.34355655168339,48.27,174.99,76.1
48.0,33.9069006564674,-118.34354383813414,48.38,170.17,78.1
49.0,33.906781374801746,-118.34351893425824,49.2,173.43,84.4
50.0,33.90665905919201,-118.34350196077287,49.91,173.09,80.8
51.0,33.90653505411215,-118.34348386429144,49.2,165.94,87.1
52.0,33.90641562767763,-118.34344783059241,48.7,170.26,100.7
53.0,33.90629550720016,-118.34342299270902,42.78,166.01,93.6
54.0,33.90619162559171,-118.34339180695936,49.7,168.87,95.5
55.0,33.906069594588814,-118.34336288206721,44.23,173.85,90.7
56.0,33.90595954961265,-118.34334860046978,51.06,171.29,100.4
57.0,33.90583324325073,-118.343325275648,48.58,172.87,85.9
58.0,33.905712613450945,-118.34330708725437,46.97,168.31,89.4
59.0,33.90559750551123,-118.34327838362435,44.78,170.77,82.1
60.0,33.90548689641424,-118.34325672922512,49.8,172.63,83.6
61.0,33.90536328826616,-118.34323747249904,53.63,171.15,80.3
62.0,33.90523067907992,-118.34321259126986,46.0,168.84,79.4
63.0,33.90511773326633,-118.34318574907309,48.2,162.68,77.7
64.0,33.905002590127076,-118.34314247982958,45.97,165.91,83.0
65.0,33.904891024434605,-118.34310873168732,49.06,170.69,83.2
66.0,33.90476987959292,-118.34308480861603,52.48,170.28,85.3
67.0,33.90464043787902,-118.3430580878689,53.64,165.63,89.4
68.0,33.904510405151576,-118.34301793520973,44.99,168.23,92.5
69.0,33.90440018439893,-118.34299026958031,53.47,169.65,92.0
70.0,33.90426854747143,-118.34296129891034,51.44,167.49,98.6
71.0,33.904142882414725,-118.34292769867238,50.78,170.51,95.3
72.0,33.90401754823706,-118.34290244437418,52.24,170.7,97.3
73.0,33.90388852299939,-118.34287699173932,52.81,169.49,83.8
74.0,33.90375858928168,-118.34284795452848,43.63,176.16,88.3
75.0,33.903649645403156,-118.342839135402,48.31,169.88,92.0
76.0,33.90353063006309,-118.3428135339309,49.53,166.83,82.9
77.0,33.903409937302854,-118.3427794976435,48.56,170.89,83.2
78.0,33.90328996083473,-118.3427563061855,47.22,168.35,82.3
79.0,33.90317422737767,-118.34272755675102,46.96,172.83,77.1
