time,lat,lon,speed,heading,hr
0.0,13.056999999999999,80.2518,44.21,180.74,78.1
1.0,13.0568893652121,80.25179853835877,51.09,200.56,81.3
2.0,13.056769656955689,80.2517524542692,50.02,177.28,86.3
3.0,13.056644624729826,80.25175855138276,47.91,166.33,86.5
4.0,13.056528125016053,80.25178764603156,53.86,180.5,86.1
5.0,13.056393342221044,80.25178644156142,46.22,198.56,87.0
6.0,13.056283700950944,80.25174865572512,51.09,179.11,89.3
7.0,13.05615585231432,80.25175070108763,48.79,159.95,80.0
8.0,13.056041151041695,80.25179368025302,45.48,182.39,77.8
9.0,13.05592743539519,80.25178880789932,53.84,198.75,76.9
10.0,13.05579986055109,80.25174434163807,48.76,178.89,68.8
11.0,13.055677855653366,80.25174676915364,51.59,157.6,70.7
12.0,13.055558499318966,80.25179726369805,49.94,177.96,72.7
13.0,13.055433595178167,80.25180183633252,45.97,196.87,75.4
14.0,13.05532351621677,80.25176756502269,50.51,181.3,80.5
15.0,13.055197152405366,80.25176462042812,41.95,159.86,72.5
16.0,13.055098594095085,80.25180172506712,51.19,179.91,77.2
17.0,13.054970483601632,80.2518019343322,46.02,198.7,87.0
18.0,13.054861392012326,80.25176402020622,50.76,179.84,85.6
19.0,13.054734362246394,80.25176439414469,51.85,162.91,88.5
20.0,13.054610344438109,80.25180352638836,47.66,181.29,89.1
21.0,13.054491109424646,80.25180077988861,50.53,199.42,94.5
22.0,13.054371858149999,80.25175762750973,52.13,178.65,88.0
23.0,13.054241442576155,80.25176078896912,48.78,159.14,83.8
24.0,13.054127366273018,80.2518054160925,49.4,181.68,82.4
25.0,13.054003793140474,80.25180169269868,44.1,194.22,71.6
26.0,13.053896825882841,80.25177386513259,52.23,176.83,81.7
27.0,13.053766326974278,80.25178127919436,46.59,162.85,75.9
28.0,13.053654912358036,80.25181657131476,46.21,179.99,80.5
29.0,13.053539271763016,80.25181658624258,50.26,199.75,74.0
30.0,13.05342088773632,80.2517729432539,40.92,180.42,73.4
31.0,13.05331849672576,80.25177217869933,48.7,160.64,74.8
32.0,13.053203511663558,80.25181366198723,49.81,183.6,76.1
33.0,13.053079111352892,80.25180563813865,51.33,199.15,85.1
34.0,13.052957773394915,80.25176239664964,49.41,180.12,87.3
35.0,13.052834118844116,80.25176213243643,46.79,162.79,89.9
36.0,13.052722270255147,80.25179770227808,49.64,182.1,94.8
