time,lat,lon,speed,heading,hr
0.0,38.79944314575051,-77.0524568542495,69.51,44.23,76.7
1.0,38.79956779083406,-77.05230118743422,72.29,63.56,85.2
2.0,38.79964834089627,-77.05209335559141,71.04,46.27,74.7
3.0,38.79977124423008,-77.05192853119168,73.04,25.05,96.0
4.0,38.79993684293833,-77.05182924036548,72.09,46.09,83.8
5.0,38.8000619689827,-77.05166247851209,70.51,62.89,81.0
6.0,38.800142365154244,-77.05146094258617,74.27,44.73,80.5
7.0,38.800274408327695,-77.05129310157221,75.07,27.52,86.2
8.0,38.80044102556872,-77.05118171635999,72.53,46.15,82.9
9.0,38.8005667745565,-77.05101375819778,75.97,63.62,74.8
10.0,38.800651257295094,-77.05079520619279,70.15,44.01,84.4
11.0,38.800777520487756,-77.05063871609669,74.48,27.6,69.4
12.0,38.80094270181183,-77.05052789796927,77.88,44.02,70.1
13.0,38.801082860887824,-77.05035412264697,72.77,64.81,72.9
14.0,38.80116036397352,-77.05014265145707,74.56,46.58,70.5
15.0,38.801288608702336,-77.04996873595456,71.97,30.32,78.5
16.0,38.80144408074866,-77.04985207699399,76.63,46.57,86.2
17.0,38.80157589541138,-77.04967337536104,74.68,63.09,75.5
18.0,38.801660486363865,-77.04945953523993,71.13,43.35,89.4
19.0,38.80178991638534,-77.0493027543604,74.9,21.89,74.7
20.0,38.80196383782503,-77.04921306308829,69.02,43.34,93.8
21.0,38.80208945986317,-77.04906096155267,74.04,63.79,93.0
22.0,38.802171284031104,-77.04884764698215,73.6,45.04,83.4
23.0,38.802301444086396,-77.04868042021688,71.88,25.02,86.7
24.0,38.802464436214095,-77.04858280388041,78.79,45.16,85.7
25.0,38.80260348641419,-77.04840340394975,70.53,57.58,75.5
26.0,38.80269809367479,-77.0482122216227,74.08,43.07,75.9
27.0,38.802833529342195,-77.04804977386999,73.93,24.25,70.5
28.0,38.80300222322966,-77.04795226416007,78.0,45.71,69.2
29.0,38.803138519161934,-77.04777295996476,70.66,62.43,72.7
30.0,38.803220356922075,-77.04757182198185,71.44,46.29,74.7
31.0,38.80334390710093,-77.04740600440627,80.8,28.78,82.8
32.0,38.80352113133286,-77.04728109333722,70.62,43.95,76.8
33.0,38.80364836248394,-77.04712367946262,74.43,61.11,76.7
34.0,38.80373836137793,-77.04691442280685,77.38,44.85,84.1
35.0,38.803875639933565,-77.04673915921612,72.35,25.11,79.9
36.0,38.80403958792224,-77.04664057714022,75.62,44.34,89.6
37.0,38.804174927990196,-77.04647083653897,74.75,63.36,90.7
38.0,38.80425879788112,-77.04625628304852,72.71,44.26,88.5
39.0,38.804389105980405,-77.04609331180787,74.41,28.58,93.3
40.0,38.8045526422102,-77.04597901465743,68.96,45.04,90.5
41.0,38.804674584054155,-77.04582232846937,76.98,61.55,86.3
42.0,38.80476637513982,-77.04560498116062,74.58,43.81,84.8
43.0,38.80490107265729,-77.04543918390682,75.46,29.32,81.8
44.0,38.80506572677318,-77.04532054118447,80.6,42.74,72.1
45.0,38.80521385971143,-77.045144856724,70.86,64.9,71.7
46.0,38.80528908871732,-77.04493878729484,75.55,44.75,81.4
47.0,38.80542335392925,-77.04476798208282,73.0,25.57,67.7
48.0,38.80558814614182,-77.04466678455303,71.39,48.47,80.2
49.0,38.80570658977492,-77.04449517316883,75.51,62.8,84.8
50.0,38.805792973456015,-77.04427950600386,70.5,48.34,87.3
51.0,38.805910244839374,-77.04411034950633,77.74,27.66,85.9
52.0,38.806082563032625,-77.04399446311788,75.75,47.15,94.7
53.0,38.80621147656691,-77.04381612437335,73.19,61.68,93.3
54.0,38.806298366852715,-77.04360921801835,78.9,42.26,93.1
55.0,38.80644449468651,-77.04343883798475,68.85,27.57,87.6
56.0,38.80659722103426,-77.04333651838543,76.14,43.79,94.3
57.0,38.80673477274466,-77.04316729472939,74.22,63.32,88.1
58.0,38.80681815921404,-77.04295431733054,76.49,45.99,89.6
59.0,38.806951150392855,-77.04277763725902,76.29,28.62,77.9
60.0,38.807118750471794,-77.0426602813925,70.91,42.91,81.3
61.0,38.807248719059274,-77.04250523770132,79.06,63.88,82.3
62.0,38.807335822168774,-77.0422772773,73.72,47.52,75.2
63.0,38.80746040924866,-77.04210269111033,71.92,26.88,84.8
64.0,38.80762093107092,-77.04199825570404,76.75,46.58,84.7
65.0,38.807752940220105,-77.04181923590619,71.18,58.96,76.7
66.0,38.80784478505563,-77.04162339024126,75.08,44.99,87.5
67.0,38.80797768067514,-77.0414529340973,76.22,27.46,85.5
68.0,38.808146930007744,-77.0413400796591,73.85,46.42,84.4
69.0,38.8082743378761,-77.04116827741305,75.41,61.16,97.8
70.0,38.80836535472175,-77.04095614392448,67.66,45.93,94.4
71.0,38.80848313664377,-77.04080002121162,75.93,31.04,94.1
72.0,38.80864594783702,-77.04067430388801,75.05,45.98,93.0
73.0,38.808776458611426,-77.04050096921314,72.87,64.01,96.1
74.0,38.80885638291321,-77.0402906282721,76.67,45.34,87.8
75.0,38.80899124775274,-77.04011549364694,71.89,25.36,87.7
76.0,38.80915382174522,-77.04001661799596,75.09,45.57,88.8
77.0,38.80928537385446,-77.03984440320353,73.26,61.78,85.9
78.0,38.80937204689239,-77.0396370992703,72.48,47.35,89.0
79.0,38.80949494415245,-77.0394659097907,73.62,27.63,82.0
80.0,38.80965817478978,-77.03935627520707,70.87,44.23,80.9
81.0,38.80978524383448,-77.03919750862931,73.88,63.15,86.6
