time,lat,lon,speed,heading,hr
0.0,33.912721537975905,-118.34481081457866,67.54,350.88,77.9
1.0,33.912888409757045,-118.34484309788948,72.39,5.16,84.1
2.0,33.9130688364394,-118.34482348200855,68.52,346.12,77.4
3.0,33.91323529614387,-118.34487306045698,66.72,330.67,88.9
4.0,33.91338086348383,-118.34497161225036,68.14,350.23,90.0
5.0,33.91354890083012,-118.34500646471746,65.66,5.13,83.0
6.0,33.91371255691903,-118.34498875232059,71.71,349.27,87.0
7.0,33.91388888490296,-118.34502902020954,68.36,334.67,84.0
8.0,33.914043518988194,-118.345117203476,68.89,349.12,81.8
9.0,33.914212821752145,-118.34515639901856,67.1,7.8,78.5
10.0,33.914379181841255,-118.34512892677672,63.64,350.73,69.5
11.0,33.91453635995628,-118.34515984343224,71.69,334.95,71.8
12.0,33.91469888992366,-118.34525137049984,66.88,347.73,77.0
13.0,33.91486243912706,-118.34529424708111,67.43,8.28,73.9
14.0,33.91502941483733,-118.34526498255323,73.71,348.37,78.5
15.0,33.915210083253456,-118.34530978561799,63.74,331.07,64.8
16.0,33.91534968937321,-118.34540277930802,68.03,347.04,78.7
17.0,33.91551558949082,-118.34544879742569,65.84,7.35,80.1
18.0,33.91567899149357,-118.34542340754552,69.58,351.01,76.7
19.0,33.91585098284052,-118.34545619370266,67.94,331.74,90.3
20.0,33.91600074197828,-118.3455531867773,63.2,351.57,85.2
21.0,33.916157200425694,-118.34558113408154,66.2,7.08,90.1
22.0,33.91632160566564,-118.34555653689733,70.47,349.45,83.8
23.0,33.91649497108599,-118.34559542858419,65.51,330.76,82.5
24.0,33.916638031580206,-118.34569192676508,72.7,347.64,81.4
25.0,33.91681573980203,-118.34573886840187,64.24,8.25,76.3
26.0,33.91697483379424,-118.3457110767562,71.9,349.66,73.7
27.0,33.91715185476365,-118.34574998391894,66.83,333.62,74.2
28.0,33.91730167313242,-118.34583953204901,67.2,351.06,74.6
29.0,33.91746779855484,-118.34587101908458,70.97,7.37,64.4
30.0,33.917643921418495,-118.34584356503169,66.23,346.34,78.5
31.0,33.91780497919205,-118.3458907315148,70.22,330.18,77.1
32.0,33.91795743219875,-118.34599603482545,64.47,351.39,74.9
33.0,33.91811695217213,-118.34602515349164,69.93,7.33,91.4
34.0,33.918290527571706,-118.34599822911703,67.89,349.54,86.1
35.0,33.91845760714904,-118.34603538558463,65.22,334.64,83.7
36.0,33.91860508569169,-118.34611961408312,72.03,351.92,85.5
37.0,33.918783558238125,-118.3461501619813,70.52,8.76,95.5
38.0,33.91895797784252,-118.34611776279797,67.81,349.87,95.8
39.0,33.91912502705606,-118.34615374010582,71.58,329.58,84.5
40.0,33.91927950376768,-118.34626304567496,64.48,352.13,93.1
41.0,33.919439355293974,-118.3462896703257,68.26,8.98,91.2
42.0,33.919608080778936,-118.34625752895413,70.29,353.1,79.6
43.0,33.919782711799364,-118.34628298620852,68.82,331.39,77.1
44.0,33.91993389732112,-118.34638236948813,70.99,353.38,66.9
45.0,33.920110379576116,-118.34640703449868,64.3,8.68,76.1
46.0,33.920269457176936,-118.34637777283871,72.32,349.26,80.6
47.0,33.92044727058989,-118.3464184058774,67.85,332.57,76.9
48.0,33.92059796652656,-118.34651267587367,66.92,350.04,81.2
49.0,33.92076291420721,-118.34654758545769,73.79,8.92,86.6
50.0,33.920945333645065,-118.34651308161308,66.64,348.63,80.9
51.0,33.92110882822567,-118.34655270669228,69.67,333.39,83.7
52.0,33.92126471930842,-118.34664681550551,63.18,350.56,83.4
53.0,33.921420680360654,-118.34667806477776,68.69,7.65,90.8
54.0,33.92159105327767,-118.34665050542044,69.07,346.84,94.7
55.0,33.92175936393769,-118.34669792572898,64.97,333.16,97.6
56.0,33.92190443520226,-118.34678637664031,69.21,350.79,90.5
57.0,33.92207540643503,-118.34681976694299,68.31,5.19,93.9
58.0,33.92224565146528,-118.34680111619858,71.33,351.37,85.5
59.0,33.922422136020785,-118.34683339339692,70.32,334.69,89.8
60.0,33.922581221980394,-118.3469240497434,66.41,349.96,87.2
61.0,33.92274487728556,-118.34695898089603,71.14,7.61,84.5
62.0,33.92292134375887,-118.34693055582657,65.88,349.73,87.0
63.0,33.92308358142592,-118.34696596742363,68.84,331.06,83.2
64.0,33.92323435146393,-118.34706643326447,68.69,348.78,80.8
65.0,33.92340296618517,-118.34710673108627,64.42,4.41,82.9
66.0,33.92356370972224,-118.34709177826211,67.62,349.46,91.2
67.0,33.92373007244799,-118.34712908123664,71.39,332.21,86.9
68.0,33.92388811418164,-118.34722947036198,69.07,348.24,90.1
69.0,33.924057321853645,-118.34727192275318,73.65,5.64,90.9
70.0,33.92424072731995,-118.34725007737428,67.66,346.32,92.9
71.0,33.924405234052735,-118.34729833521315,67.18,330.78,102.4
72.0,33.9245519559755,-118.34739722074404,68.64,347.42,98.5
73.0,33.924719613493025,-118.34744230687228,68.41,8.84,86.4
74.0,33.92488876810813,-118.34741058990666,71.08,348.38,87.7
75.0,33.925063005477924,-118.34745376746423,66.36,332.41,91.9
76.0,33.92521019057461,-118.34754647351193,75.1,347.55,88.3
77.0,33.92539370649137,-118.34759531185566,70.71,8.0,92.3
78.0,33.92556892738606,-118.34756564683103,68.08,347.12,71.6
79.0,33.92573500347102,-118.34761140407994,71.44,332.39,80.4
80.0,33.925893410243994,-118.34771126986827,60.9,348.69,82.6
81.0,33.92604285592878,-118.34774728845741,69.52,10.91,84.4
82.0,33.926213695516175,-118.3477075996529,69.44,346.86,83.5
83.0,33.92638292478868,-118.34775519658498,67.01,330.48,86.5
84.0,33.926528832526756,-118.34785478513962,68.08,350.76,89.6
85.0,33.92669699953494,-118.34788773821728,62.8,7.92,101.2
86.0,33.92685266351203,-118.34786164923212,69.37,348.29,92.3
87.0,33.92702264471181,-118.3479040993806,69.63,335.6,93.7
88.0,33.92718133258413,-118.34799086556048,68.93,352.21,98.6
89.0,33.927352234506714,-118.34801903410236,69.21,7.31,98.0
90.0,33.92752401840345,-118.34799247213323,68.63,348.91,89.6
91.0,33.92769256651672,-118.34803228899165,70.48,335.07,93.3
92.0,33.92785252015007,-118.34812188541723,67.27,351.67,92.7
93.0,33.92801907653693,-118.34815128972443,67.09,2.58,82.8
94.0,33.92818679042681,-118.34814216446391,70.28,347.49,85.9
95.0,33.92835848395886,-118.34818806521149,65.48,333.41,80.4
96.0,33.92850501426291,-118.34827647873398,70.95,350.74,86.6
97.0,33.92868026415055,-118.3483109220716,68.59,9.55,80.1
98.0,33.92884952429026,-118.34827658805557,67.43,348.69,84.3
99.0,33.92901498643708,-118.34831645676688,72.14,332.54,88.1
100.0,33.929175164110305,-118.34841679665297,65.29,350.03,89.3
101.0,33.92933607785701,-118.34845088017236,67.2,6.15,91.6
102.0,33.92950326714812,-118.34842917103916,67.12,350.95,96.1
103.0,33.92966914464379,-118.34846102717596,69.57,332.93,94.7
104.0,33.929824171099476,-118.34855650342864,72.96,351.99,95.3
105.0,33.930004976767066,-118.34858715165807,67.38,6.35,99.0
106.0,33.93017256554742,-118.34856466587273,67.91,345.56,97.3
107.0,33.930337134813925,-118.34861573781465,67.7,329.67,96.3
108.0,33.93048337156247,-118.34871883707295,67.95,352.92,97.7
109.0,33.93065211124549,-118.348744079874,73.57,10.86,91.7
110.0,33.930832936737545,-118.3487022793347,65.92,346.07,92.2
111.0,33.93099305655464,-118.34875013266426,74.2,331.84,89.5
112.0,33.931156750031434,-118.34885575075675,70.7,351.14,86.4
113.0,33.93133156285543,-118.34888860653238,67.53,3.01,90.0
114.0,33.93150031910963,-118.34887789599617,70.26,348.38,82.3
115.0,33.931672542876996,-118.34892056176639,68.36,335.57,85.1
116.0,33.931828301621934,-118.34900584608538,69.35,350.29,93.9
117.0,33.93199935480197,-118.34904110603297,70.15,9.02,95.9
118.0,33.93217273504489,-118.34900793646892,66.47,355.87,90.7
119.0,33.93233864675909,-118.34902237261508,67.57,331.21,94.1
120.0,33.93248684548255,-118.3491205124912,63.16,348.0,97.8
121.0,33.93264143736863,-118.34916012572087,69.69,9.04,101.4
122.0,33.93281368202617,-118.3491271097408,66.99,351.79,100.4
123.0,33.93297961598423,-118.34915597048338,64.64,332.73,90.3
124.0,33.93312340902084,-118.34924530128413,71.69,350.69,105.7
125.0,33.93330045225983,-118.3492802740948,66.64,8.32,93.9
126.0,33.93346546417829,-118.34925120261632,74.04,350.59,83.4
127.0,33.93364826065825,-118.34928769826055,72.8,332.83,90.6
128.0,33.93381033132741,-118.34938797209573,67.27,353.3,87.7
129.0,33.933977521130856,-118.34941164004807,66.27,8.07,82.5
130.0,33.934141723764526,-118.34938358933047,66.64,347.81,91.2
131.0,33.93430473820367,-118.34942604710449,72.35,332.65,88.6
132.0,33.9344655625109,-118.34952631764949,68.54,352.4,92.0
133.0,33.93463558947528,-118.34955364729971,69.9,7.47,93.0
134.0,33.93480901940816,-118.34952624324403,68.44,351.95,93.5
135.0,33.93497860926849,-118.34955514208272,64.82,333.37,98.9
136.0,33.93512362662752,-118.34964276579481,69.49,351.78,102.1
137.0,33.93529574350449,-118.34967273360252,71.6,10.8,110.4
138.0,33.935471762114176,-118.34963226873292,70.99,349.44,100.5
139.0,33.93564639891043,-118.3496715250021,66.01,330.19,110.0
140.0,33.93578971553679,-118.34977050960343,64.75,348.27,97.7
141.0,33.935948362335445,-118.34981020631143,69.96,9.39,93.6
142.0,33.93612107918633,-118.3497757788742,65.66,350.88,92.6
143.0,33.93628331598929,-118.34980715864366,65.68,327.79,93.9
144.0,33.93642237637419,-118.34991276554429,67.74,346.07,91.0
145.0,33.93658692091278,-118.34996195363483,68.98,6.91,97.1
146.0,33.93675829877578,-118.34993690975253,71.82,348.26,92.5
147.0,33.93693427289605,-118.34998097306493,65.54,330.81,90.3
148.0,33.93707744184097,-118.35007739641965,67.66,349.65,94.0
149.0,33.937243996530185,-118.35011404476722,68.4,6.5,95.4
150.0,33.93741407370999,-118.35009069339075,62.65,350.77,101.7
151.0,33.93756881827158,-118.35012099652076,69.55,328.46,100.0
152.0,33.93771715466701,-118.35023073797038,67.4,348.73,111.2
153.0,33.93788256114248,-118.35027047637432,73.41,6.3,107.4
154.0,33.938065158946195,-118.35024618487387,71.66,350.18,116.6
155.0,33.938241860101705,-118.35028303459255,62.76,330.01,103.3
156.0,33.93837789125049,-118.35037765042274,67.25,350.06,105.1
157.0,33.93854367229961,-118.35041265352179,68.83,11.39,101.6
158.0,33.93871252781336,-118.35037166249876,70.32,348.76,96.8
159.0,33.93888513981929,-118.35041299611369,74.57,335.69,98.2
160.0,33.93905521556676,-118.35050558868429,67.06,349.98,99.0
161.0,33.93922047538003,-118.3505407949731,69.65,6.39,87.4
162.0,33.93939370052179,-118.3505174187443,69.86,350.82,86.3
163.0,33.93956628520143,-118.35055104412591,65.83,331.09,88.3
164.0,33.939710499376474,-118.35064704468843,69.24,351.1,91.9
165.0,33.939881685822556,-118.350679349451,65.37,4.75,95.1
166.0,33.940044723586006,-118.3506630358574,70.33,348.54,98.9
167.0,33.94021721289615,-118.35070517724786,65.57,330.37,108.5
168.0,33.940359854549605,-118.35080296856171,68.33,348.73,108.3
169.0,33.94052756309751,-118.35084323963186,68.22,15.06,108.5
170.0,33.940692415387176,-118.35078977971386,63.92,348.58,105.4
171.0,33.94084921711925,-118.3508279417027,70.62,329.75,102.9
172.0,33.94100188602524,-118.350935266924,68.64,351.89,109.9
173.0,33.941171933312205,-118.35096446204055,67.79,7.07,107.7
174.0,33.941340294654346,-118.35093930097327,69.99,347.67,100.7
175.0,33.94151140688845,-118.35098437810512,60.78,330.22,106.7
176.0,33.94164342141886,-118.35107544247806,73.03,348.63,102.8
177.0,33.9418225981187,-118.35111888565805,66.35,5.43,106.4
178.0,33.94198789433117,-118.35109995303372,68.46,353.5,95.5
179.0,33.94215812413741,-118.35112332524344,71.57,330.74,91.0
180.0,33.94231437617052,-118.35122885448624,62.36,345.94,94.5
181.0,33.9424657464078,-118.35127456622902,70.57,5.74,91.7
182.0,33.94264146762745,-118.35125328292057,70.23,348.44,99.4
183.0,33.94281365790663,-118.35129575543628,70.28,331.98,103.3
184.0,33.942968929473736,-118.35139535407241,69.79,352.89,102.8
185.0,33.943142228916074,-118.35142139898724,64.14,5.4,111.2
186.0,33.94330203273892,-118.35140319767346,72.63,352.6,102.4
187.0,33.94348226809238,-118.35143141468586,64.85,334.17,114.4
