time,lat,lon,speed,heading,hr
0.0,38.79944314575051,-77.0524568542495,70.04,47.5,67.6
1.0,38.79956154716142,-77.0522910390029,66.53,51.42,75.0
2.0,38.799665380539125,-77.05212402394534,68.32,58.01,71.3
3.0,38.799755958197714,-77.05193797402299,68.32,56.51,68.3
4.0,38.79985030205014,-77.05175502089281,69.2,51.84,72.5
5.0,38.799957288971406,-77.05158030039783,71.74,45.22,73.3
6.0,38.800083748647,-77.05141676855871,70.61,38.12,75.9
7.0,38.800222769612176,-77.05127681234454,69.58,32.97,76.2
8.0,38.80036885681741,-77.0511552062794,71.26,32.46,78.6
9.0,38.80051931607288,-77.05103240691237,69.57,37.22,76.6
10.0,38.8006579484906,-77.05089726749274,69.92,44.45,75.2
11.0,38.800782851391844,-77.05074002177194,69.81,50.59,71.6
12.0,38.80089377077192,-77.05056683976063,68.03,57.35,73.4
13.0,38.80098561865367,-77.0503828952535,69.7,57.78,70.5
14.0,38.80107861013948,-77.05019352417591,67.98,51.04,73.4
15.0,38.80118558296908,-77.05002378507817,67.54,45.36,68.6
16.0,38.8013043395635,-77.04986948327547,68.45,38.23,76.0
17.0,38.801438896373355,-77.04973347702268,71.36,33.62,66.8
18.0,38.80158759985901,-77.04960658741702,66.88,32.01,71.7
19.0,38.801729513321135,-77.04949273700562,67.31,39.7,66.7
20.0,38.80185910230702,-77.04935467149413,65.68,43.83,68.9
21.0,38.80197767694658,-77.04920860488512,68.34,52.28,62.9
22.0,38.80208231001545,-77.04903503685915,67.48,58.05,67.1
23.0,38.80217167185968,-77.04885115540289,67.87,54.96,66.1
24.0,38.80226919859001,-77.04867270859775,68.31,52.38,66.3
25.0,38.80237354953903,-77.0484989567441,68.3,43.87,65.3
26.0,38.802496762802846,-77.0483469708609,68.03,38.18,61.9
27.0,38.802630588243275,-77.04821194383491,64.52,32.27,67.4
28.0,38.802767108362076,-77.04810132942377,69.03,34.41,66.5
29.0,38.80290960968959,-77.04797605486696,66.14,35.81,66.8
