time,lat,lon,speed,heading,hr
0.0,33.912721537975905,-118.34481081457866,63.42,351.25,72.7
1.0,33.91287838769528,-118.34483990558842,66.22,358.1,70.9
2.0,33.91304400025454,-118.3448465232498,63.88,358.46,70.3
3.0,33.913203795775274,-118.34485170518738,64.94,0.43,71.6
4.0,33.913366312035954,-118.34485022035193,63.09,356.23,71.6
5.0,33.91352385754414,-118.34486273368648,63.61,351.12,72.8
6.0,33.91368113055762,-118.34489233775093,65.03,342.49,75.7
7.0,33.91383632404715,-118.34495133726108,65.97,335.54,78.4
8.0,33.91398660616109,-118.34503370170145,62.9,337.54,73.9
9.0,33.91413207424488,-118.34510617568075,64.62,342.19,70.1
10.0,33.914286026791395,-118.34516577106132,66.51,348.88,72.4
11.0,33.91444934156559,-118.34520444462714,64.65,358.3,69.9
12.0,33.91461106440199,-118.34521023915856,63.86,2.05,72.7
13.0,33.91477078088157,-118.34520335685929,64.67,1.66,75.0
14.0,33.91493255487169,-118.34519771545821,64.49,358.23,69.0
15.0,33.91509386991408,-118.34520371673405,68.21,349.53,73.4
16.0,33.91526173283718,-118.34524111038687,65.81,345.32,71.2
17.0,33.9154210510566,-118.34529141889855,63.59,338.89,65.3
18.0,33.915569493167766,-118.3453604816894,65.38,338.61,67.3
19.0,33.915721822875184,-118.34543239845068,64.76,343.36,65.6
20.0,33.91587709078999,-118.34548832332351,61.87,349.55,65.0
21.0,33.91602935961577,-118.34552216950844,61.97,355.77,69.9
22.0,33.91618401474245,-118.34553596699548,63.43,0.5,64.5
23.0,33.91634274172089,-118.34553430714452,65.13,2.59,67.5
24.0,33.916505554872316,-118.3455254269902,62.73,357.36,62.1
25.0,33.91666237871294,-118.34553414210939,61.86,351.94,66.7
26.0,33.9168156568743,-118.34556028649304,62.09,344.01,67.7
27.0,33.91696501564672,-118.34561187495454,65.43,339.35,64.2
28.0,33.91711824062524,-118.345681455785,62.0,337.3,66.3
29.0,33.917261382764686,-118.34575360580182,62.09,343.0,61.6
30.0,33.91740997718321,-118.3458083344958,65.56,350.47,68.2
31.0,33.917571773575226,-118.34584106494235,63.38,357.66,68.9
32.0,33.91773024688393,-118.3458488600169,63.03,2.34,68.0
33.0,33.91788785525256,-118.34584108455348,61.99,0.62,70.5
34.0,33.91804296773768,-118.3458390726186,62.75,356.74,71.7
35.0,33.918199749007265,-118.34584984273859,64.12,350.83,71.7
36.0,33.918358170534304,-118.34588064952298,61.6,341.64,72.5
37.0,33.91850448219798,-118.3459391689601,64.12,336.75,73.5
38.0,33.91865192046598,-118.34601549734525,64.01,338.97,72.3
39.0,33.918801430817005,-118.34608477105952,61.72,343.52,73.9
40.0,33.91894952906353,-118.34613756593869,64.3,349.23,73.8
41.0,33.91910760049327,-118.34617380747811,58.91,357.75,77.9
42.0,33.91925490327066,-118.34618077292129,61.79,2.46,74.4
43.0,33.919409380208556,-118.3461727594612,64.99,1.81,70.4
44.0,33.91957194442891,-118.3461665595945,60.11,357.84,74.5
45.0,33.91972226895925,-118.34617340653647,60.76,349.75,74.0
46.0,33.91987188926683,-118.34620600400838,62.86,341.81,68.9
47.0,33.920021346411716,-118.34626517735198,60.75,339.13,69.8
48.0,33.92016339682232,-118.34633045297663,58.82,338.79,71.9
49.0,33.92030063337579,-118.34639463458342,61.77,341.52,68.6
50.0,33.92044724965289,-118.34645367149574,61.44,349.55,68.1
51.0,33.920598454970104,-118.346487282072,58.65,357.0,70.6
52.0,33.92074502312333,-118.3464965528011,65.03,3.18,68.4
53.0,33.92090750644045,-118.346485682263,58.09,2.2,71.1
54.0,33.92105276722786,-118.34647895469217,59.95,357.83,69.7
55.0,33.921202694884755,-118.34648580198865,59.91,349.75,67.1
56.0,33.92135023232243,-118.34651796736618,62.05,341.88,62.8
57.0,33.92149782033558,-118.34657615823319,59.08,337.54,67.1
58.0,33.92163444022093,-118.34664422948882,58.34,337.97,63.5
59.0,33.92176977259386,-118.34671021968266,58.51,342.91,62.2
60.0,33.921909728593555,-118.34676206013923,58.91,352.11,64.4
61.0,33.92205575378782,-118.34678644354761,59.49,356.69,67.2
62.0,33.92220437364641,-118.34679681393156,59.58,2.36,63.1
63.0,33.92235334886611,-118.34678941227399,59.82,2.69,71.1
64.0,33.92250287643374,-118.34678095494154,60.17,354.81,72.4
65.0,33.92265284190353,-118.34679737740073,59.46,349.65,69.2
66.0,33.92279922235099,-118.34682960528869,59.25,342.39,68.5
67.0,33.92294055000006,-118.34688367310153,61.48,337.96,71.5
68.0,33.923083168057836,-118.34695325414044,60.77,338.84,70.6
69.0,33.923224996197646,-118.34701941983157,58.58,342.17,72.1
70.0,33.923364544123615,-118.34707350385447,58.65,348.94,71.6
71.0,33.92350858930417,-118.34710743321206,55.16,359.18,73.2
72.0,33.92364661132824,-118.34710981977894,59.42,3.14,76.1
73.0,33.9237950939262,-118.34710000844717,58.16,1.51,69.0
74.0,33.92394058626015,-118.3470953787585,57.92,357.26,72.9
75.0,33.924085356836905,-118.34710373199768,61.62,349.5,81.0
76.0,33.92423697271109,-118.34713759355789,58.22,343.16,72.0
77.0,33.92437643022084,-118.34718845173067,61.51,339.06,74.0
78.0,33.92452019915668,-118.34725476725451,59.77,336.21,76.7
79.0,33.92465705135079,-118.34732748017557,58.94,341.36,74.8
80.0,33.924796823750206,-118.34738429731145,57.41,349.93,75.5
81.0,33.92493828729174,-118.34741458277672,56.29,356.65,67.0
82.0,33.925078918000516,-118.34742450329956,59.36,2.67,71.5
83.0,33.925227317347655,-118.34741615202643,57.57,0.97,67.6
84.0,33.92537135691709,-118.34741320562811,55.1,356.62,67.5
85.0,33.925509004896966,-118.34742299735817,59.11,349.69,68.4
86.0,33.9256545508634,-118.34745490871039,60.14,343.74,70.2
87.0,33.925799041493015,-118.34750569244312,58.06,339.06,64.4
88.0,33.92593473366802,-118.34756827704292,60.48,339.33,67.0
89.0,33.92607633894196,-118.34763267059768,55.59,344.86,62.7
90.0,33.92621063087874,-118.34767644923963,58.2,350.86,68.5
91.0,33.92635441653828,-118.34770434421597,56.42,357.04,64.5
92.0,33.92649541418929,-118.34771313683696,55.95,359.88,67.4
93.0,33.92663542167496,-118.34771349024946,58.1,2.29,60.9
94.0,33.92678071268299,-118.3477065019351,55.64,356.7,68.4
95.0,33.926919726587045,-118.34771617665768,55.77,349.42,66.0
96.0,33.92705692021014,-118.34774707119732,59.55,342.31,64.7
97.0,33.927198884283186,-118.34780165275393,54.01,337.19,67.2
98.0,33.92732347402011,-118.34786480832345,55.02,338.03,71.1
99.0,33.92745115087627,-118.3479268983827,57.04,343.61,72.5
100.0,33.92758809011637,-118.34797542837354,55.77,350.66,67.4
101.0,33.92772579484949,-118.34800271689899,57.51,357.87,71.4
102.0,33.92786962584125,-118.34800915977256,57.75,0.57,70.0
103.0,33.92801414311273,-118.34800743860326,58.93,1.31,71.0
104.0,33.92816157804159,-118.34800337311924,55.1,355.48,75.9
105.0,33.92829904010644,-118.34801646849776,56.41,350.25,72.8
106.0,33.92843816107169,-118.34804526501473,55.25,343.43,75.3
107.0,33.92857067510272,-118.34809277863876,55.09,337.86,73.2
108.0,33.92869837732238,-118.34815541146975,56.29,338.21,75.6
109.0,33.92882917261779,-118.34821842312611,55.07,339.26,74.0
110.0,33.928958049773925,-118.3482772446403,54.58,351.51,75.2
111.0,33.929093137848234,-118.34830156199612,54.15,358.55,75.4
112.0,33.92922860624299,-118.34830569916289,55.28,0.61,71.8
113.0,33.92936694436142,-118.3483039228513,60.04,0.68,75.3
114.0,33.9295171911817,-118.34830177105523,56.62,358.16,68.4
115.0,33.92965880440385,-118.34830726843447,57.41,350.39,69.4
116.0,33.92980045753861,-118.34833615957446,56.78,343.91,75.3
117.0,33.929936976436885,-118.34838361333306,53.99,338.17,68.8
118.0,33.9300624058904,-118.34844417053971,52.82,340.02,63.6
119.0,33.93018662842939,-118.34849859508238,54.82,343.04,67.9
120.0,33.930317837048655,-118.34854683367105,54.57,350.95,62.4
121.0,33.930452699690726,-118.3485727366201,53.82,359.1,63.7
122.0,33.93058737808527,-118.34857529246409,54.66,2.52,65.6
123.0,33.93072404113419,-118.34856805379755,56.79,1.9,64.5
124.0,33.93086606892121,-118.34856238882571,51.88,358.57,67.0
125.0,33.93099584925166,-118.34856628428449,57.06,349.16,65.4
126.0,33.931136090383646,-118.34859864823927,55.91,342.27,67.3
127.0,33.93126937253082,-118.34864999545694,53.3,339.23,64.1
128.0,33.931394076245326,-118.3487070007658,54.7,338.58,67.7
129.0,33.93152150656761,-118.3487672417983,55.18,340.93,65.6
130.0,33.93165202124209,-118.3488216152804,53.49,349.16,66.5
131.0,33.93178348304003,-118.34885195048618,53.47,353.45,65.7
132.0,33.93191641425067,-118.34887033975201,53.23,1.95,68.2
133.0,33.93204954995367,-118.34886488921099,55.85,2.95,71.9
134.0,33.93218913270022,-118.348856205126,55.09,356.55,70.0
135.0,33.93232675758898,-118.34886619477034,54.81,349.8,70.1
