time,lat,lon,speed,heading,hr
0.0,13.056999999999999,80.2518,44.65,181.24,71.6
1.0,13.056888278648827,80.25179751398275,44.41,183.81,70.4
2.0,13.056777376296246,80.25178993724299,46.92,183.95,70.7
3.0,13.056660241049029,80.25178163855573,43.84,181.36,71.5
4.0,13.056550558438785,80.25177897255939,40.22,180.6,69.1
5.0,13.056449921406577,80.25177788183699,42.47,178.59,74.8
6.0,13.05634367730919,80.25178055818672,41.47,177.73,78.2
7.0,13.056239981871478,80.25178477783841,45.17,179.44,71.3
8.0,13.056126952270043,80.25178592091855,45.28,178.64,72.1
9.0,13.056013677660328,80.25178868347068,43.5,180.94,74.2
10.0,13.055904837423112,80.25178685175116,49.63,178.5,74.7
11.0,13.055780679286524,80.25179019871688,47.06,177.36,71.3
12.0,13.055663046009741,80.25179577566949,40.1,180.52,70.5
13.0,13.055562697762904,80.25179483686398,46.85,180.49,73.6
14.0,13.05544546943898,80.25179380316442,44.25,179.71,68.7
15.0,13.055334742018,80.25179437673748,43.85,178.2,74.2
16.0,13.055225065401647,80.25179791415152,40.59,180.86,71.4
17.0,13.055123494237467,80.25179635075355,43.31,179.04,71.2
18.0,13.055015131920584,80.25179821998384,47.33,182.58,66.7
19.0,13.054896812804662,80.25179275238791,45.83,179.23,70.3
20.0,13.05478213816117,80.25179434071646,44.54,178.8,64.3
21.0,13.054670711437732,80.25179673257576,47.03,177.01,69.7
22.0,13.05455317573568,80.25180303575937,47.51,179.82,66.7
23.0,13.054434285350965,80.25180341922886,45.9,178.39,69.2
24.0,13.054319457261705,80.25180673811316,48.91,179.91,58.5
25.0,13.054197055986982,80.25180693452778,45.22,182.05,64.3
26.0,13.05408397154365,80.25180276969185,40.03,180.23,64.5
27.0,13.053983794474446,80.25180235795852,48.69,180.89,64.1
28.0,13.053861950571191,80.25180040886711,43.75,177.98,68.1
29.0,13.053752545190944,80.25180437240833,43.68,180.82,67.6
30.0,13.05364325813855,80.25180276304746,47.42,180.24,65.3
31.0,13.05352458649927,80.25180224704015,44.02,179.18,64.2
32.0,13.053414438274016,80.25180386370754,45.65,180.74,68.8
33.0,13.053300201968925,80.25180234846003,41.46,179.41,68.6
34.0,13.053196449713749,80.25180343865411,42.99,179.14,70.2
35.0,13.053088868382808,80.25180509019191,49.72,181.01,72.0
36.0,13.052964474642291,80.25180283872224,44.81,180.64,67.6
37.0,13.052852334863685,80.25180154504328,45.15,179.93,79.3
38.0,13.052739345511057,80.25180167922615,45.75,179.52,73.8
39.0,13.052624850374093,80.25180266573302,47.86,177.08,76.3
40.0,13.05250524364483,80.2518089320576,42.73,181.98,78.3
41.0,13.052398384075927,80.25180514444575,46.47,176.5,80.4
42.0,13.05228231740206,80.25181244131973,43.58,177.52,75.2
43.0,13.052173349548106,80.2518172788586,41.12,178.74,75.0
44.0,13.052070463115026,80.25181959941106,46.18,177.34,72.2
45.0,13.051955011720674,80.2518250966399,43.04,183.87,73.2
46.0,13.051847545565995,80.25181762471692,41.92,182.03,74.0
47.0,13.05174269964324,80.25181380276594,40.98,183.27,73.1
48.0,13.051640310618186,80.2518078016519,46.95,180.65,68.7
49.0,13.05152281427587,80.25180643390895,46.3,176.7,71.7
50.0,13.051407128542989,80.25181328356335,45.87,180.63,68.3
51.0,13.05129235531739,80.2518119957978,45.73,180.58,67.3
52.0,13.051177915044901,80.25181080526936,46.18,184.66,65.2
53.0,13.05106272079696,80.25180115734129,42.56,181.64,69.3
54.0,13.050956249747049,80.25179802547264,42.95,182.9,69.0
55.0,13.050848908841514,80.25179245040547,47.06,181.03,70.7
56.0,13.050731172309028,80.25179027339543,43.12,179.39,63.3
57.0,13.05062328144769,80.2517914592657,44.81,177.96,66.0
58.0,13.050511222236107,80.25179555566645,47.07,180.69,65.0
59.0,13.0503934431371,80.2517940959582,44.34,183.63,71.8
60.0,13.05028270936705,80.25178687707593,42.86,181.56,62.6
61.0,13.050175499315134,80.25178387190957,44.44,181.21,67.4
