time,lat,lon,speed,heading,hr
0.0,38.79944314575051,-77.0524568542495,70.6,41.72,70.8
1.0,38.79957502735661,-77.05230598406368,71.98,47.95,70.2
2.0,38.799695675407776,-77.05213436549165,71.08,42.05,74.6
3.0,38.79982775500158,-77.05198147625163,72.71,46.89,72.1
4.0,38.79995211137006,-77.0518110317866,68.16,43.83,73.3
5.0,38.80007514940541,-77.0516594580974,70.52,44.8,73.7
6.0,38.80020035843245,-77.05149989527753,68.06,44.67,76.9
7.0,38.80032149015402,-77.05134626784958,69.56,45.19,73.0
8.0,38.80044417432688,-77.05118779142252,73.27,41.67,76.4
9.0,38.80058113989623,-77.05103137022556,71.91,40.94,77.3
10.0,38.80071707270737,-77.05088006652606,74.0,45.31,75.3
11.0,38.80084729753776,-77.05071114453048,70.91,41.46,75.0
12.0,38.800980293326425,-77.05056038554642,71.43,43.49,69.7
13.0,38.801109981492374,-77.05040251345382,67.8,47.48,70.7
14.0,38.80122466808102,-77.05024204774422,71.08,44.72,72.8
15.0,38.80135107419131,-77.05008145136733,68.73,43.14,68.7
16.0,38.80147657967564,-77.04993052014605,72.69,44.44,70.6
17.0,38.8016064577116,-77.049767100934,73.64,47.15,68.2
18.0,38.801731786921366,-77.04959374525573,75.43,44.53,72.4
19.0,38.80186634162601,-77.04942387697453,70.97,40.82,67.9
20.0,38.80200074341783,-77.04927491296516,68.14,47.07,65.0
21.0,38.80211688993921,-77.04911472060986,68.57,43.31,68.4
22.0,38.802241753414336,-77.04896368304578,68.44,42.05,61.3
23.0,38.80236894516677,-77.04881648550858,73.18,47.52,64.5
24.0,38.80249262208056,-77.04864318669837,71.13,44.26,68.8
25.0,38.802620120338666,-77.04848378231773,68.26,46.02,61.0
26.0,38.802738729577555,-77.04832605823282,70.18,42.21,63.5
27.0,38.802868814408534,-77.04817463653863,68.62,45.49,62.7
28.0,38.80298919859219,-77.04801750962208,73.91,42.06,68.0
29.0,38.80312651888419,-77.04785853063348,71.35,49.33,65.3
30.0,38.80324289103446,-77.04768475915552,69.92,48.31,67.6
31.0,38.80335926620923,-77.04751710285424,62.63,44.89,71.9
32.0,38.80347030402841,-77.04737515051796,70.82,46.23,68.6
33.0,38.803592917103046,-77.04721092277502,68.51,45.41,71.2
34.0,38.803713274871896,-77.04705426057892,70.47,41.73,72.0
35.0,38.803844870444316,-77.04690363728774,70.93,44.5,69.1
36.0,38.80397146190713,-77.04674398607862,70.59,42.59,74.1
37.0,38.80410152837231,-77.04659058935137,71.31,40.31,71.8
38.0,38.804237593865786,-77.04644244952486,66.65,44.52,71.7
39.0,38.80435652363481,-77.04629238328496,70.08,47.42,73.4
40.0,38.80447520016043,-77.04612668251985,71.22,44.71,75.9
41.0,38.804601870868936,-77.04596578004126,72.73,44.81,77.4
42.0,38.80473099414037,-77.04580116737813,70.14,46.03,76.6
43.0,38.80485284469594,-77.04563906087307,72.65,45.79,77.1
44.0,38.80497963014553,-77.04547184204257,67.29,42.45,72.8
45.0,38.80510386428796,-77.04532599304677,66.06,47.44,75.0
46.0,38.805215675226336,-77.04516973967243,72.91,45.91,73.9
47.0,38.80534262928037,-77.0450015904096,67.6,41.64,69.7
48.0,38.805469054358106,-77.04485734027456,69.54,43.66,68.9
49.0,38.80559496707808,-77.0447031766577,66.69,48.68,74.3
50.0,38.80570516178826,-77.04454234935454,72.25,47.96,68.3
51.0,38.805826224336116,-77.04437003718837,66.81,45.86,71.3
52.0,38.8059426614505,-77.04421608647439,68.98,44.82,65.1
53.0,38.80606511162357,-77.04405996386669,67.4,38.81,70.1
54.0,38.80619655713295,-77.0439243135355,69.58,43.99,68.2
55.0,38.80632182051769,-77.04376912279336,73.31,49.51,63.5
56.0,38.806440936826434,-77.0435900611532,75.9,40.14,71.1
57.0,38.80658613102108,-77.04343292165763,66.82,45.47,67.6
58.0,38.80670340182336,-77.04327993738157,69.72,44.73,67.2
59.0,38.80682734946453,-77.04312237203116,67.04,45.84,64.2
60.0,38.80694422792554,-77.04296794452902,71.28,46.65,65.9
61.0,38.80706666230188,-77.04280149175335,69.1,47.33,66.1
62.0,38.807183849922794,-77.04263833153432,68.88,36.56,68.1
63.0,38.80732229501253,-77.04250657508082,68.83,44.02,64.2
64.0,38.80744615712725,-77.04235295120027,71.37,47.51,69.7
65.0,38.807566802590166,-77.04218394363745,69.6,40.68,67.8
66.0,38.80769887866733,-77.04203823904948,68.46,44.3,68.5
67.0,38.807821494953565,-77.04188469439362,65.22,47.12,74.8
68.0,38.807932543644895,-77.04173120943912,69.89,46.21,73.5
69.0,38.80805358547982,-77.04156917746317,68.34,41.37,71.8
70.0,38.80818192533554,-77.04142412890403,69.88,48.41,74.1
71.0,38.80829800386124,-77.04125626678885,71.22,43.53,77.8
72.0,38.808427224999484,-77.0410987583648,69.8,47.49,75.9
73.0,38.80854525247831,-77.04093352946096,71.27,46.44,77.4
74.0,38.808668143593465,-77.04076766875002,69.68,47.76,76.5
75.0,38.80878536545296,-77.0406019927696,67.69,44.04,74.3
76.0,38.80890713492422,-77.04045086496077,65.85,44.81,77.1
77.0,38.809024039061015,-77.04030183711448,76.79,38.08,78.4
78.0,38.80917529420126,-77.04014973860704,70.02,44.35,75.0
79.0,38.80930060654986,-77.03999254638663,70.48,43.53,73.3
80.0,38.80942849082442,-77.03983665957792,70.45,44.76,69.7
81.0,38.8095536728992,-77.0396773283628,70.41,45.1,72.5
82.0,38.809678048222196,-77.039517163852,72.84,44.46,70.4
83.0,38.809808157658566,-77.03935330812445,73.24,45.57,70.1
84.0,38.80993647233343,-77.0391853402032,69.76,45.54,72.5
85.0,38.81005875298107,-77.03902545033081,73.21,44.36,68.2
86.0,38.81018974644917,-77.03886108254498,71.7,42.85,66.8
87.0,38.81032128699021,-77.03870448232735,63.18,46.55,66.8
88.0,38.81043001275366,-77.03855718406511,67.34,43.85,64.8
89.0,38.810551542218995,-77.03840735505186,69.88,43.57,62.2
90.0,38.810678253830936,-77.03825268620822,73.42,45.79,65.9
91.0,38.810806360204914,-77.03808368177927,72.74,47.02,68.1
92.0,38.81093044739784,-77.03791277761897,68.75,49.68,63.2
93.0,38.811041785349104,-77.03774444131537,71.77,46.96,67.1
94.0,38.81116437126512,-77.0375759808317,70.03,49.72,66.5
95.0,38.811277664643555,-77.03740439717349,75.34,42.55,65.1
96.0,38.81141655765767,-77.03724078265769,69.13,44.23,65.0
97.0,38.81154052533134,-77.03708591183002,68.69,43.18,63.9
98.0,38.811665882568356,-77.03693496289573,74.87,43.04,70.0
99.0,38.81180283324183,-77.03677085741268,72.94,47.31,73.6
100.0,38.81192659000844,-77.03659865292192,66.93,40.57,68.0
101.0,38.812053807613204,-77.0364588586636,69.25,43.83,69.8
102.0,38.812178831098954,-77.03630485473212,70.09,45.55,70.0
103.0,38.812301662332075,-77.0361441719331,67.52,39.56,71.3
104.0,38.812431924012,-77.03600606542851,67.18,44.38,72.2
105.0,38.812552068687495,-77.03585516530225,69.69,42.17,71.4
106.0,38.81268131227594,-77.03570491123067,66.73,42.88,74.1
107.0,38.81280368209524,-77.0355590891163,72.27,42.83,75.9
108.0,38.81293630317412,-77.035401293245,68.01,44.83,75.9
109.0,38.81305700899824,-77.03524732403092,70.36,46.73,79.0
