time,lat,lon,speed,heading,hr
0.0,13.056999999999999,80.2518,37.02,1.16,86.0
1.0,13.057092631001602,80.25180192613377,34.5,3.07,85.3
2.0,13.057178838157895,80.25180667413804,33.82,0.43,82.3
3.0,13.05726347463407,80.25180733327065,31.29,4.69,91.8
4.0,13.057341527482748,80.25181390696191,29.55,1.5,88.0
5.0,13.057415456312123,80.25181589369829,35.63,353.7,89.8
6.0,13.057504073350307,80.25180585048595,34.12,358.22,92.8
7.0,13.057589419278333,80.25180313229224,30.57,358.48,88.7
8.0,13.057665902157073,80.25180105271758,33.76,5.89,84.1
9.0,13.057749943670775,80.25180994946219,31.52,4.02,75.3
10.0,13.057828634410548,80.25181563272216,38.81,3.69,76.9
11.0,13.057925542519632,80.25182205297153,39.71,357.36,70.6
12.0,13.058024814426355,80.25181735510078,34.78,358.99,78.0
13.0,13.05811183059076,80.25181578746788,34.99,2.56,73.7
14.0,13.058199317125116,80.25181980586686,35.42,0.13,63.0
15.0,13.05828796659107,80.25182001320984,34.47,359.11,70.7
16.0,13.058374227373053,80.25181863787861,33.14,1.16,85.2
17.0,13.05845713479896,80.25182035967056,32.35,4.72,80.7
18.0,13.058537822763096,80.25182719727145,32.4,359.78,85.0
19.0,13.058618890777979,80.25182687505111,30.36,357.73,89.2
20.0,13.058694802262615,80.2518237794566,31.34,1.89,91.9
21.0,13.05877318071711,80.2518264325211,34.51,358.11,92.1
22.0,13.058859493599925,80.2518235013676,35.11,359.9,86.1
23.0,13.058947366894106,80.25182334260911,33.13,359.41,83.6
24.0,13.059030276475333,80.25182246704729,29.1,359.47,82.2
25.0,13.059103106551456,80.25182177502484,32.98,359.15,80.4
26.0,13.059185633557997,80.25182051127314,35.19,359.81,82.0
27.0,13.05927369196777,80.25182021893352,30.14,358.05,72.0
28.0,13.059349074740032,80.25181758518177,32.69,358.54,71.4
29.0,13.059430865527487,80.25181544284725,32.38,356.11,74.6
30.0,13.05951171412066,80.25180980175836,32.08,1.79,72.7
31.0,13.05959194976521,80.25181236875588,33.66,357.22,72.6
32.0,13.059676074067921,80.25180817522269,28.39,1.72,77.0
33.0,13.059747094131284,80.25181036370128,34.3,0.9,92.2
34.0,13.059832923061617,80.25181175291966,30.74,1.05,84.1
35.0,13.059909831672082,80.25181319910186,33.51,354.67,84.0
36.0,13.059993323629978,80.25180520476707,32.1,2.75,89.1
37.0,13.060073565155639,80.25180915586813,38.97,358.09,89.5
38.0,13.060171025065854,80.25180582527555,36.19,5.5,92.9
39.0,13.060261180154367,80.25181473293668,34.93,1.11,82.2
40.0,13.06034857975822,80.25181646536792,36.29,359.16,87.8
41.0,13.060439374566672,80.25181510425207,33.59,355.78,92.3
42.0,13.060523213161925,80.25180876052687,33.56,3.74,86.4
43.0,13.060607028181243,80.25181438587114,28.64,358.9,76.2
44.0,13.060678682615995,80.25181297411497,32.93,4.69,76.7
45.0,13.060760809316752,80.25181988867458,39.46,359.1,82.9
46.0,13.06085955192596,80.25181829716772,33.27,6.66,77.3
47.0,13.060942256082061,80.25182820510132,38.18,355.45,72.4
48.0,13.061037502527892,80.25182042423664,30.46,0.65,76.6
49.0,13.061113719070626,80.25182131233278,31.93,357.49,79.4
50.0,13.061193538140225,80.25181771791542,36.25,358.36,80.2
51.0,13.06128421648306,80.25181504491846,37.4,0.66,85.7
52.0,13.06137781353929,80.25181615448632,33.06,357.85,95.1
53.0,13.061460483891597,80.25181296285916,32.16,0.58,94.2
54.0,13.061540951099612,80.2518138024332,35.79,356.69,94.8
55.0,13.06163037671983,80.25180849818392,31.23,359.08,89.4
56.0,13.061708530338745,80.25180720503045,37.44,1.6,89.1
57.0,13.061802179648234,80.25180989784558,27.49,1.38,87.1
58.0,13.061870950924032,80.25181159259542,31.02,359.91,83.0
59.0,13.061948580825756,80.25181146299715,34.63,358.0,83.1
60.0,13.062035180961225,80.25180835334304,27.39,353.29,78.9
61.0,13.062103249123439,80.25180012661508,25.51,1.37,77.4
62.0,13.062167063341246,80.25180169680584,37.92,358.42,76.9
63.0,13.06226190974011,80.25179901328566,34.17,1.15,70.0
64.0,13.062347412493985,80.25180077367416,34.4,2.3,81.8
65.0,13.062433419421714,80.25180432696034,27.5,11.78,88.9
66.0,13.062500783413435,80.25181874704246,34.61,359.14,84.6
67.0,13.062587390186616,80.25181740882235,32.04,358.73,89.3
68.0,13.062667551840512,80.25181558059393,36.0,355.45,89.3
69.0,13.06275736215502,80.2518082411857,32.4,356.61,98.4
70.0,13.062838301243707,80.25180331902892,34.83,358.39,92.0
71.0,13.06292541756218,80.25180081162725,35.81,2.27,102.8
72.0,13.063014952926336,80.2518044611173,35.76,359.47,95.2
73.0,13.063104428536187,80.25180361673821,31.59,3.89,96.2
74.0,13.06318330942917,80.25180911957258,33.56,359.42,91.2
75.0,13.063267282631791,80.25180824074998,33.4,0.76,88.9
76.0,13.063350862210825,80.25180937400005,36.71,4.73,88.7
77.0,13.063442406529775,80.2518171569943,31.08,358.63,86.6
78.0,13.063520167881896,80.25181525259406,38.17,2.63,78.7
79.0,13.063615582961358,80.25181974868603,28.83,359.31,79.0
80.0,13.063687728769764,80.2518188584748,32.35,2.99,83.6
81.0,13.063768575822095,80.25182319311504,34.72,359.43,78.0
82.0,13.063855463819486,80.25182230337566,24.78,0.26,84.3
83.0,13.063917466686084,80.25182258735656,37.37,355.11,91.2
84.0,13.06401063958952,80.25181440182259,38.31,1.4,87.4
85.0,13.064106489393431,80.2518168066032,36.55,5.24,93.1
86.0,13.064197564770081,80.25182538459211,30.43,3.41,92.9
87.0,13.064273584137302,80.25183003035362,32.16,358.17,93.2
88.0,13.064354031431392,80.25182739784051,32.97,3.67,99.0
89.0,13.064436378390488,80.25183281891519,28.29,358.29,97.7
90.0,13.064507138092448,80.25183064898704,33.54,354.26,89.2
91.0,13.06459066185813,80.25182203511498,36.48,5.96,92.5
92.0,13.064681469558836,80.25183177021097,31.21,3.79,91.4
93.0,13.064759404378126,80.25183707173132,34.54,0.6,91.6
94.0,13.064845841239661,80.25183800010176,34.62,2.2,77.7
95.0,13.064932404589197,80.25184140997689,33.38,357.12,83.4
96.0,13.065015837287843,80.25183710091139,40.99,356.61,88.9
97.0,13.065118222891138,80.25183087372649,33.97,1.81,82.8
98.0,13.065203180928712,80.25183362427414,33.98,357.14,86.6
99.0,13.06528811646353,80.25182927478646,34.75,356.27,87.6
100.0,13.065374900994975,80.25182347406502,31.17,354.28,89.7
101.0,13.065452512267946,80.25181548866504,35.42,5.66,89.1
102.0,13.06554071744787,80.25182446773215,29.11,1.46,101.4
103.0,13.065613536924197,80.25182637056088,33.47,358.59,104.3
104.0,13.06569726792716,80.25182424975931,29.56,356.14,97.5
105.0,13.065771070580933,80.25181913583941,29.19,3.12,88.3
106.0,13.065844015591534,80.2518232112347,35.41,358.65,103.1
107.0,13.065932592529224,80.25182106280494,32.52,358.61,100.7
108.0,13.066013939273878,80.25181903723137,32.58,354.39,94.2
109.0,13.066095091458088,80.25181085516643,32.22,1.35,90.7
110.0,13.066175701236585,80.25181280194398,31.78,352.54,89.8
111.0,13.066254544935367,80.25180219641148,33.93,357.05,87.8
112.0,13.066339334946683,80.2517977155623,34.26,358.97,81.2
113.0,13.06642506037365,80.25179613696893,35.58,359.38,85.8
114.0,13.066514095825323,80.25179514813088,34.42,358.24,89.3
115.0,13.066600197971649,80.2517924327353,37.23,353.85,87.3
116.0,13.066692823060645,80.2517821872178,37.34,1.28,86.0
117.0,13.066786247670576,80.25178432426519,32.88,357.87,91.5
118.0,13.066868484079212,80.25178118684916,31.18,5.2,95.4
119.0,13.066946189592821,80.25178845333406,30.14,0.61,98.4
120.0,13.067021619586052,80.25178928205897,32.75,0.95,101.2
121.0,13.06710356877157,80.25179068054045,29.21,358.41,103.4
122.0,13.067176630263239,80.25178860122476,33.81,5.26,102.4
123.0,13.067260870977755,80.25179657015241,29.94,2.08,106.7
124.0,13.067335751646338,80.2517993595626,38.65,0.61,94.5
125.0,13.067432456856807,80.25180041132262,36.08,5.45,96.9
126.0,13.067522327065774,80.25180922043283,33.0,0.7,96.7
127.0,13.067604914494208,80.25181025937194,27.85,0.42,85.0
128.0,13.067674604281045,80.25181078516303,34.68,359.44,87.6
129.0,13.067761386951325,80.25180991821554,27.9,3.66,87.8
130.0,13.067831056353208,80.25181448930007,36.03,354.55,87.3
131.0,13.067920811184269,80.25180569188765,31.16,1.26,94.4
132.0,13.067998766217183,80.25180745043359,35.5,3.13,91.2
133.0,13.068087474517592,80.25181242256046,31.63,1.74,98.2
134.0,13.068166590496991,80.25181488924132,36.96,4.95,94.9
135.0,13.068258742810896,80.25182308010216,29.87,1.08,103.0
136.0,13.068333480616372,80.2518245321991,28.14,1.35,98.2
137.0,13.068403882816208,80.25182623771548,32.85,359.15,99.3
138.0,13.068486074535812,80.25182498672461,34.5,1.17,103.5
139.0,13.068572404027027,80.25182679198542,36.9,357.73,109.9
140.0,13.068664664374511,80.25182304191956,31.91,358.55,103.3
141.0,13.068744502388812,80.25182096629203,33.33,358.93,101.7
142.0,13.06882790066641,80.25181936111866,37.7,354.27,96.2
143.0,13.068921786148545,80.25180969324191,33.48,358.77,93.1
144.0,13.069005556234348,80.25180784007557,38.23,354.81,91.2
145.0,13.069100846129324,80.2517989484338,36.6,1.33,85.6
146.0,13.069192424714156,80.2518011295238,32.95,1.42,92.9
147.0,13.069274849520887,80.2518032276772,33.45,353.62,88.0
148.0,13.06935804628646,80.25179367516154,35.16,1.3,89.4
149.0,13.069446012070552,80.25179571940377,33.42,357.86,91.3
150.0,13.069529582573077,80.25179251876283,32.64,2.53,86.4
151.0,13.06961119083594,80.25179621462703,30.63,358.88,94.6
152.0,13.069687838656444,80.25179467016386,34.08,356.29,109.1
153.0,13.06977294056153,80.25178900171763,31.93,0.94,107.5
154.0,13.06985283594894,80.2517903468282,31.67,358.62,101.9
155.0,13.069932057797368,80.25178839148036,32.58,354.74,106.9
156.0,13.070013247153847,80.25178072477881,32.5,359.71,101.2
157.0,13.070094582697548,80.25178030233869,29.8,1.82,105.9
158.0,13.070169115964607,80.25178274000422,31.49,356.99,94.2
159.0,13.07024781802443,80.25177849630498,36.68,358.5,99.3
160.0,13.07033956802159,80.25177602292976,35.32,2.94,90.2
161.0,13.070427831518714,80.25178066899909,31.41,359.01,98.0
162.0,13.07050642183791,80.25177927146595,36.43,356.41,95.3
163.0,13.070597411799755,80.25177341037666,32.52,5.49,94.7
164.0,13.070678422374469,80.2517814019567,31.9,6.84,87.0
165.0,13.070757675933509,80.25179116847832,35.89,354.36,87.8
166.0,13.070847051311151,80.25178210733814,35.06,358.88,98.9
167.0,13.070934777230386,80.25178035144846,34.42,1.28,106.4
168.0,13.071020884163728,80.25178232093232,31.72,357.14,101.2
169.0,13.071100162418723,80.25177825935427,36.45,2.49,108.5
170.0,13.07119129546013,80.25178232872663,30.22,3.55,114.9
171.0,13.071266765634695,80.25178713598329,35.96,4.57,115.9
172.0,13.071356461740182,80.25179449574107,32.18,355.03,105.2
173.0,13.071436681169665,80.25178733440028,30.6,2.16,109.6
174.0,13.071513202056854,80.25179030340303,35.84,4.11,105.3
175.0,13.071602649949144,80.25179690436426,31.21,357.04,106.3
176.0,13.071680647212581,80.25179275894429,33.63,2.34,96.9
177.0,13.071764743666222,80.25179628388085,30.54,353.92,103.8
178.0,13.071840734192566,80.25178797789114,34.32,356.16,98.5
179.0,13.071926423227266,80.25178207123176,34.3,356.24,97.6
180.0,13.072012084148739,80.25177628459429,42.36,0.04,87.7
181.0,13.072118078142973,80.25177635580886,33.23,3.18,99.1
182.0,13.072201112545017,80.2517810861136,31.55,1.32,99.3
183.0,13.072280046751713,80.25178295888564,35.56,354.43,102.6
184.0,13.072368614366574,80.25177408585157,36.92,1.92,106.0
185.0,13.072460965997365,80.25177725744872,31.11,0.44,104.5
186.0,13.072538808489528,80.25177787710567,38.06,3.56,108.6
187.0,13.07263386743886,80.25178394877435,31.04,0.14,115.5
188.0,13.0727115352738,80.25178414083038,39.57,2.0,107.4
189.0,13.072810508335378,80.25178768234356,34.44,358.87,112.5
190.0,13.072896688493934,80.25178593101612,31.13,359.35,111.6
191.0,13.072974589224366,80.25178502789167,31.0,2.16,110.9
192.0,13.073052114452087,80.25178803444608,34.15,3.51,102.9
193.0,13.073137421762633,80.25179340714762,31.16,1.66,100.0
194.0,13.073215379163718,80.25179572954916,36.38,353.54,91.5
195.0,13.073305841087894,80.2517852188213,32.76,4.51,95.5
196.0,13.073387568294894,80.2517918371546,32.89,358.12,101.8
197.0,13.073469820851205,80.25178906073621,37.58,352.54,98.4
198.0,13.073563070375782,80.25177651970122,30.52,356.38,105.6
199.0,13.073639304419439,80.25177156694936,30.29,357.16,106.1
200.0,13.073715012220097,80.25176771603142,30.94,1.02,105.5
201.0,13.07379241803297,80.25176912483239,37.05,356.92,112.0
202.0,13.073885008214761,80.25176401472923,34.83,1.6,117.5
