time,lat,lon,speed,heading,hr
0.0,38.79944314575051,-77.0524568542495,53.39,222.44,80.9
1.0,38.79934455369383,-77.05257254914888,49.61,227.74,82.8
2.0,38.79926104834052,-77.05269044901503,48.03,222.94,80.0
3.0,38.799173056191,-77.0527955261668,54.06,222.75,90.2
4.0,38.79907370003731,-77.05291336224849,53.56,220.58,81.8
5.0,38.79897190980262,-77.05302523053764,50.63,226.89,82.1
6.0,38.79888531418547,-77.0531439152655,50.74,227.4,83.7
7.0,38.798799366179836,-77.05326384140925,55.34,218.34,86.1
8.0,38.798690744363235,-77.05337407111276,47.92,225.02,84.9
9.0,38.798605977262646,-77.05348289938517,51.14,223.0,86.5
10.0,38.798512382048195,-77.05359489307855,54.73,222.89,76.9
11.0,38.79841203996464,-77.05371448955587,53.35,226.17,74.2
12.0,38.79831959031753,-77.05383806136656,52.34,225.82,77.8
13.0,38.798228293478296,-77.05395858965352,55.56,221.06,75.2
14.0,38.79812344992748,-77.0540757869038,55.85,227.1,72.7
15.0,38.798028298955195,-77.05420714805828,52.28,219.39,71.3
16.0,38.79792718550983,-77.05431369075269,48.77,222.8,76.2
17.0,38.79783763731475,-77.0544201053877,45.37,223.21,84.1
18.0,38.79775488996541,-77.05451984402593,54.32,231.66,83.4
19.0,38.79767056906387,-77.05465664731884,51.24,224.84,87.1
20.0,38.797579643725705,-77.05477264653629,49.98,224.89,95.0
21.0,38.79749103665815,-77.05488589822268,54.65,220.54,88.4
22.0,38.79738709246359,-77.05499996244681,53.52,230.7,86.7
23.0,38.79730226167473,-77.05513295786814,52.62,224.26,82.0
24.0,38.797207949363624,-77.05525087022554,47.15,222.7,80.5
25.0,38.797121242627604,-77.05535352893978,53.4,225.28,73.4
26.0,38.79702721421162,-77.05547536801814,54.19,224.59,77.9
27.0,38.796930636180804,-77.05559751813922,51.26,223.1,74.0
28.0,38.79683696370583,-77.05570998435024,53.02,223.09,83.7
29.0,38.79674006500397,-77.05582628800558,51.55,222.77,73.7
30.0,38.796645371485795,-77.05593867535379,55.79,222.94,64.9
31.0,38.796543152116406,-77.0560607146107,54.95,223.41,74.8
32.0,38.79644324127578,-77.05618197001453,53.82,222.54,82.0
33.0,38.79634399667228,-77.05629880750685,50.1,225.63,83.2
34.0,38.79625633242145,-77.05641379609031,54.74,223.79,90.5
35.0,38.796157458508546,-77.05653542667234,52.83,217.18,80.4
36.0,38.79605212179215,-77.05663795233687,51.1,232.33,92.5
37.0,38.79597397250294,-77.05676780656263,50.09,224.89,87.1
38.0,38.79588517134421,-77.05688132386938,55.37,229.76,98.7
39.0,38.79579565862737,-77.0570170248486,53.36,225.17,88.9
40.0,38.79570150408426,-77.05713853479084,49.37,224.14,88.4
41.0,38.79561283100386,-77.05724893795703,53.83,222.63,86.1
42.0,38.79551373080185,-77.05736599208211,57.53,225.86,82.4
43.0,38.795413482327206,-77.05749855136116,58.65,227.27,85.1
44.0,38.795313883817876,-77.05763689222378,51.58,228.46,78.6
45.0,38.79522828524108,-77.05776085329974,54.0,221.05,77.5
46.0,38.79512637353397,-77.0578747008408,55.58,225.07,71.3
47.0,38.79502814039435,-77.05800104815971,55.21,229.9,76.7
48.0,38.7949391622851,-77.05813664364028,53.94,224.55,85.0
49.0,38.794842969814724,-77.05825815588042,52.93,225.3,81.7
50.0,38.79474980418337,-77.05837897052997,51.39,230.35,84.5
51.0,38.79466773058088,-77.0585060177746,52.94,229.39,92.3
52.0,38.79458149569907,-77.05863506319747,51.88,222.27,96.3
53.0,38.794485410295316,-77.0587471078725,52.05,222.97,93.3
54.0,38.794390109787834,-77.05886101492905,51.26,222.03,93.6
55.0,38.7942948318661,-77.05897121087706,56.34,225.14,99.1
56.0,38.794195378294845,-77.05909943886883,52.83,222.43,94.3
57.0,38.79409779155581,-77.05921389611136,54.66,229.55,90.6
58.0,38.79400905206064,-77.0593474354107,54.52,227.0,83.0
59.0,38.79391599975635,-77.059475462911,56.88,225.58,83.0
60.0,38.79381637410714,-77.05960589281966,51.77,225.39,72.0
