time,lat,lon,speed,heading,hr
0.0,34.141354,-118.352898,26.88,137.77,72.0
1.0,34.1413113636973,-118.35285123644982,21.98,137.77,72.0
2.0,34.14129174116757,-118.3528297142682,20.63,137.77,72.0
3.0,34.14125341874595,-118.35278768181576,15.61,137.77,72.0
4.0,34.141216820778375,-118.35274754047532,16.46,137.77,72.0
5.0,34.14117551076757,-118.35270216374062,19.22,137.72,72.0
6.0,34.14112527094054,-118.35264712574602,19.61,137.8,72.0
7.0,34.14111486105946,-118.35263555014996,19.62,137.38,72.0
9.0,34.14103078843243,-118.35254349612632,21.93,137.82,72.0
10.0,34.14100231571892,-118.35250970162315,24.79,135.51,72.0
12.0,34.140928474486486,-118.3524155906005,20.08,133.47,72.0
13.0,34.14088413295135,-118.35236584108402,24.24,137.12,72.0
14.0,34.14083778687568,-118.3523112609376,19.56,135.73,72.0
15.0,34.14081525638919,-118.3522829639302,10.94,133.89,72.0
16.0,34.140801930313515,-118.35226622593015,10.97,133.89,72.0
18.0,34.14073815846486,-118.35218605937017,16.12,133.86,72.0
19.0,34.14071565543784,-118.35215786521272,20.09,133.96,72.0
20.0,34.14068961288648,-118.35212515561064,21.93,133.89,72.0
21.0,34.1406325027027,-118.35205342606437,22.04,133.89,72.0
22.0,34.14060214077838,-118.3520152156488,27.06,133.83,72.0
23.0,34.14055725829189,-118.35194463404069,26.18,127.54,72.0
24.0,34.140509940151354,-118.35188513368533,27.42,133.86,72.0
25.0,34.14048138505946,-118.35184926559445,26.86,133.89,72.0
26.0,34.14043480008649,-118.35179075724345,32.49,133.89,72.0
28.0,34.140283627524326,-118.35159312608654,37.99,132.74,72.0
29.0,34.140214328086486,-118.35149653339411,37.87,130.92,72.0
30.0,34.14019544147027,-118.35147021044222,38.3,130.92,72.0
31.0,34.14012625187027,-118.35137380354325,39.14,130.93,72.0
32.0,34.14003019318919,-118.3512347271857,37.65,129.85,72.0
33.0,34.139992474875676,-118.35118224385117,38.4,130.97,72.0
34.0,34.139934752345944,-118.35110134738832,43.5,130.77,72.0
35.0,34.1398438176,-118.3509727749967,40.93,130.52,72.0
36.0,34.139783599005405,-118.3508903855507,38.48,131.45,72.0
38.0,34.13963083379459,-118.3506815802443,38.39,131.48,72.0
39.0,34.13957379775135,-118.35060169237451,39.45,130.78,72.0
40.0,34.13947380962162,-118.35046283830556,40.24,131.02,72.0
41.0,34.13946715894054,-118.35045364484706,40.26,131.16,72.0
42.0,34.1393506155027,-118.35029250219847,43.89,131.15,72.0
43.0,34.13932893351351,-118.3502625230967,43.89,131.15,72.0
44.0,34.139263887545944,-118.35017258579141,44.03,131.15,72.0
45.0,34.13915547485406,-118.35002268696486,44.03,131.15,72.0
46.0,34.13907045212973,-118.34990009977682,49.43,129.96,72.0
47.0,34.13898901011892,-118.34978783076126,49.27,131.23,72.0
48.0,34.13894015699459,-118.34972044745484,49.38,131.22,72.0
49.0,34.1388506473946,-118.34959678531894,50.73,131.17,72.0
50.0,34.13871760356757,-118.34941348348258,54.86,131.25,72.0
51.0,34.1386723696,-118.34935109337538,54.86,131.22,72.0
52.0,34.138572878486485,-118.34921382186857,54.55,131.21,72.0
53.0,34.13844412108108,-118.34904036708555,54.86,131.89,72.0
54.0,34.13838112358919,-118.348952669255,55.77,130.96,72.0
